"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified"
1394046,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",76,2011,107,NA,NA,2313,14801,NA,NA,FALSE,2831,2822,1162,"CAI Zaragoza","CAI Zaragoza","CAI",2831,1861,"Blancos de Rueda Valladolid","Blancos Rueda","BRV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,NA
1394045,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",76,2011,107,NA,NA,2313,14801,NA,NA,TRUE,2822,2822,1162,"CAI Zaragoza","CAI Zaragoza","CAI",2831,1861,"Blancos de Rueda Valladolid","Blancos Rueda","BRV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,NA
1394044,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",76,2011,107,NA,NA,2313,14801,NA,45640,FALSE,2831,2822,1162,"CAI Zaragoza","CAI Zaragoza","CAI",2831,1861,"Blancos de Rueda Valladolid","Blancos Rueda","BRV",20209866,20209866,20209866,"Hervé Tiecoura Touré ","Hervé Touré","H. Touré","Touré","202",FALSE,202,NA,1,"12",11,2052,1,3,33.33,4,8,50,0,0,0,2,2,4,1,0,3,0,1,0,1,2,4,10,1,0,-1,NA
1394043,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",76,2011,107,NA,NA,2313,14801,NA,45639,FALSE,2831,2822,1162,"CAI Zaragoza","CAI Zaragoza","CAI",2831,1861,"Blancos de Rueda Valladolid","Blancos Rueda","BRV",20209850,20209850,20209850,"Kahiem Jamel Seawright","Kahiem Seawright","K. Seawright","Seawright","202",FALSE,202,NA,1,"33",4,1278,0,0,0,1,4,25,2,3,66.67,5,1,6,0,1,1,0,0,0,0,4,2,4,1,0,13,NA
1394042,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",76,2011,107,NA,NA,2313,14801,NA,45664,TRUE,2822,2822,1162,"CAI Zaragoza","CAI Zaragoza","CAI",2831,1861,"Blancos de Rueda Valladolid","Blancos Rueda","BRV",20209838,20209838,20209838,"Jacob Cole Burtschi","Jacob Burtschi","J. Burtschi","Burtschi","202",FALSE,202,NA,1,"7",3,896,1,1,100,0,1,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1,2,7,1,0,3,NA
1394041,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",76,2011,107,NA,NA,2313,14801,NA,45657,FALSE,2831,2822,1162,"CAI Zaragoza","CAI Zaragoza","CAI",2831,1861,"Blancos de Rueda Valladolid","Blancos Rueda","BRV",20209324,20209324,20209324,"Michael Daniel Chukwuma Umeh","Michael Umeh","M. Umeh","Umeh","202",FALSE,202,NA,0,"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1394040,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",76,2011,107,NA,NA,2313,14801,NA,45656,FALSE,2831,2822,1162,"CAI Zaragoza","CAI Zaragoza","CAI",2831,1861,"Blancos de Rueda Valladolid","Blancos Rueda","BRV",20204534,20204534,20204534,"Txomin López Ansotegui","Txomin López","T. López","López","202",FALSE,202,NA,0,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1394039,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",76,2011,107,NA,NA,2313,14801,NA,45674,TRUE,2822,2822,1162,"CAI Zaragoza","CAI Zaragoza","CAI",2831,1861,"Blancos de Rueda Valladolid","Blancos Rueda","BRV",20204123,20204123,20204123,"Javier Marín Ayerbe","Javier Marín","J. Marín","Marín","202",FALSE,202,NA,0,"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1394038,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",76,2011,107,NA,NA,2313,14801,NA,45677,TRUE,2822,2822,1162,"CAI Zaragoza","CAI Zaragoza","CAI",2831,1861,"Blancos de Rueda Valladolid","Blancos Rueda","BRV",20204111,20204111,20204111,"Sam Tom Bert Van Rossom ","Sam Van Rossom","S. Van Rossom","Van Rossom","202",FALSE,202,NA,1,"9",3,1560,0,4,0,1,2,50,1,2,50,2,1,3,1,0,0,0,0,0,0,4,1,-2,1,0,-5,NA
1394037,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",76,2011,107,NA,NA,2313,14801,NA,45653,FALSE,2831,2822,1162,"CAI Zaragoza","CAI Zaragoza","CAI",2831,1861,"Blancos de Rueda Valladolid","Blancos Rueda","BRV",20204103,20204103,20204103,"Jason Michael Robinson","Jason Robinson","J. Robinson","Robinson","202",FALSE,202,NA,1,"20",14,1661,0,0,0,5,8,62.5,4,5,80,7,0,7,4,4,2,0,0,0,0,3,4,24,1,0,-3,NA
