"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified"
1337101,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",82,2017,107,NA,NA,2674,17749,NA,NA,TRUE,3144,3144,502,"Movistar Estudiantes","Movistar Estu","MOV",3147,656,"Divina Seguros Joventut","Divina Joventut","JOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1337100,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",82,2017,107,NA,NA,2674,17749,NA,NA,FALSE,3147,3144,502,"Movistar Estudiantes","Movistar Estu","MOV",3147,656,"Divina Seguros Joventut","Divina Joventut","JOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1337099,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",82,2017,107,NA,NA,2674,17749,NA,56167,FALSE,3147,3144,502,"Movistar Estudiantes","Movistar Estu","MOV",3147,656,"Divina Seguros Joventut","Divina Joventut","JOV",20212493,20212493,20212493,"Maalik Benjamin Wayns","Maalik Wayns","M. Wayns","Wayns","202",FALSE,202,NA,1,"18",23,1852,4,7,57,4,8,50,3,4,75,4,0,4,5,2,3,0,0,1,0,4,3,21,0,1,9,0
1337098,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",82,2017,107,NA,NA,2674,17749,NA,40168,TRUE,3144,3144,502,"Movistar Estudiantes","Movistar Estu","MOV",3147,656,"Divina Seguros Joventut","Divina Joventut","JOV",20212438,20212438,20212438,"Sylven Landesberg ","Sylven Landesberg","S. Landesberg","Landesberg","202",FALSE,202,NA,1,"15",33,1958,2,6,33,9,16,56,9,10,90,4,0,4,1,2,0,0,0,0,0,4,9,33,1,1,7,0
1337097,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",82,2017,107,NA,NA,2674,17749,NA,40248,FALSE,3147,3144,502,"Movistar Estudiantes","Movistar Estu","MOV",3147,656,"Divina Seguros Joventut","Divina Joventut","JOV",20212433,20212433,20212433,"Saulius Kulvietis ","Saulius Kulvietis","S. Kulvietis","Kulvietis","202",FALSE,202,NA,1,"12",15,1601,3,7,42,2,4,50,2,2,100,2,0,2,4,0,1,0,0,1,0,0,2,15,0,0,6,0
1337095,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",82,2017,107,NA,NA,2674,17749,NA,40245,FALSE,3147,3144,502,"Movistar Estudiantes","Movistar Estu","MOV",3147,656,"Divina Seguros Joventut","Divina Joventut","JOV",20212423,20212423,20212423,"Simon Fredrik Stefan Birgander ","Simon Birgander","S. Birgander","Birgander","202",FALSE,202,NA,1,"2",6,1737,0,0,0,2,5,40,2,6,33,4,2,6,1,0,1,0,0,2,0,4,3,2,0,1,-23,0
1337094,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",82,2017,107,NA,NA,2674,17749,NA,40167,TRUE,3144,3144,502,"Movistar Estudiantes","Movistar Estu","MOV",3147,656,"Divina Seguros Joventut","Divina Joventut","JOV",20212420,20212420,20212420,"Dagoberto Miguel Peña Rincon","Dagoberto Peña ","D. Peña ","Peña ","202",FALSE,202,NA,0,"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337092,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",82,2017,107,NA,NA,2674,17749,NA,40163,TRUE,3144,3144,502,"Movistar Estudiantes","Movistar Estu","MOV",3147,656,"Divina Seguros Joventut","Divina Joventut","JOV",20212204,20212204,20212204,"Aleksandar Cvetkovic ","Aleksandar Cvetkovic","A. Cvetkovic","Cvetkovic","202",FALSE,202,NA,1,"4",7,1618,1,1,100,0,1,0,4,4,100,1,0,1,1,1,0,0,0,0,0,3,3,9,1,1,8,0
1337090,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",82,2017,107,NA,NA,2674,17749,NA,40260,FALSE,3147,3144,502,"Movistar Estudiantes","Movistar Estu","MOV",3147,656,"Divina Seguros Joventut","Divina Joventut","JOV",20211754,20211754,20211754,"Josep  Busquets Costa","Pep Busquets","P. Busquets","Busquets","202",FALSE,202,NA,0,"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337089,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",82,2017,107,NA,NA,2674,17749,NA,40236,FALSE,3147,3144,502,"Movistar Estudiantes","Movistar Estu","MOV",3147,656,"Divina Seguros Joventut","Divina Joventut","JOV",20211660,20211660,20211660,"Xabier  López-Arostegui Eskauriaza","Xabi López-Arostegui","López-Arostegui","López-A.","202",FALSE,202,NA,1,"6",8,1327,1,3,33,2,3,66,1,2,50,6,1,7,0,0,1,0,0,0,0,2,2,10,1,1,-17,0
