"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified"
1611796,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",53,1988,107,NA,NA,1121,5696,NA,49484,TRUE,1004,1004,437,"Estudiantes Bosé","Estudiantes","EST",998,190,"Taugrés Baskonia","Taugrés","TAU",20202286,20202286,20202286,"Vicente Gil Sáez","Vicente Gil","V. Gil","Gil","202",FALSE,202,NA,1,"7",12,1920,1,2,50,4,8,50,1,2,50,1,0,1,2,0,0,0,0,0,0,4,0,5,0,0,0,NA
1611791,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",53,1988,107,NA,NA,1121,5696,NA,49395,FALSE,998,1004,437,"Estudiantes Bosé","Estudiantes","EST",998,190,"Taugrés Baskonia","Taugrés","TAU",20200707,20200707,20200707,"Juan Luis Mauraza Gazpio","Koldo Mauraza","K. Mauraza","Mauraza","202",FALSE,202,NA,1,"11",1,480,0,0,0,0,4,0,1,2,50,0,0,0,0,0,0,0,0,0,0,1,0,-5,0,0,0,NA
1611790,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",53,1988,107,NA,NA,1121,5696,NA,49479,TRUE,1004,1004,437,"Estudiantes Bosé","Estudiantes","EST",998,190,"Taugrés Baskonia","Taugrés","TAU",20200702,20200702,20200702,"Juan Antonio Orenga Forcada","Juan Antonio Orenga","J. A. Orenga","Orenga","202",FALSE,202,NA,1,"8",9,2220,0,0,0,4,9,44.44,1,1,100,4,5,9,0,2,2,0,1,0,0,4,0,10,0,0,0,NA
1611787,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",53,1988,107,NA,NA,1121,5696,NA,49478,TRUE,1004,1004,437,"Estudiantes Bosé","Estudiantes","EST",998,190,"Taugrés Baskonia","Taugrés","TAU",20200670,20200670,20200670,"Javier García Coll","Javi García Coll","J. García Coll","García Coll","202",FALSE,202,NA,1,"11",8,1860,1,5,20,1,3,33.33,3,3,100,3,0,3,0,1,0,0,0,0,0,2,0,4,0,0,0,NA
1611785,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",53,1988,107,NA,NA,1121,5696,NA,49476,TRUE,1004,1004,437,"Estudiantes Bosé","Estudiantes","EST",998,190,"Taugrés Baskonia","Taugrés","TAU",20200664,20200664,20200664,"Pedro Rodríguez Fernández","Pedro Rodríguez","P. Rodríguez","Rodríguez","202",FALSE,202,NA,1,"14",2,180,0,0,0,1,1,100,0,0,0,2,4,6,0,0,0,0,0,0,0,1,0,7,0,0,0,NA
1611798,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",53,1988,107,NA,NA,1121,5696,NA,NA,FALSE,998,1004,437,"Estudiantes Bosé","Estudiantes","EST",998,190,"Taugrés Baskonia","Taugrés","TAU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1611799,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",53,1988,107,NA,NA,1121,5696,NA,NA,TRUE,1004,1004,437,"Estudiantes Bosé","Estudiantes","EST",998,190,"Taugrés Baskonia","Taugrés","TAU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1611783,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",53,1988,107,NA,NA,1121,5696,NA,49473,TRUE,1004,1004,437,"Estudiantes Bosé","Estudiantes","EST",998,190,"Taugrés Baskonia","Taugrés","TAU",20200661,20200661,20200661,"John Gabriel Pinone Jr","John Pinone","J. Pinone","Pinone","202",FALSE,202,NA,1,"12",13,2400,0,0,0,5,14,35.71,3,5,60,4,3,7,1,2,1,0,0,0,0,3,0,8,0,0,0,NA
1611784,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",53,1988,107,NA,NA,1121,5696,NA,49475,TRUE,1004,1004,437,"Estudiantes Bosé","Estudiantes","EST",998,190,"Taugrés Baskonia","Taugrés","TAU",20200663,20200663,20200663,"Carlos Montes García","Carlos Montes","C. Montes","Montes","202",FALSE,202,NA,1,"4",8,1740,1,2,50,2,5,40,1,1,100,1,0,1,1,0,2,0,0,0,0,2,0,2,0,0,0,NA
1611786,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",53,1988,107,NA,NA,1121,5696,NA,49477,TRUE,1004,1004,437,"Estudiantes Bosé","Estudiantes","EST",998,190,"Taugrés Baskonia","Taugrés","TAU",20200665,20200665,20200665,"José Miguel Antúnez Melero","José M. Antúnez","J.M. Antúnez","Antúnez","202",FALSE,202,NA,1,"6",2,480,0,2,0,0,1,0,2,2,100,1,0,1,0,1,1,0,0,0,0,2,0,-2,0,0,0,NA
