"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified"
1527417,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,NA,FALSE,1181,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,NA
1527416,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,NA,TRUE,1178,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,5,0,0,0,NA
1527415,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,52263,FALSE,1181,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",20201460,20201460,20201460,"Anthony Demond Pelle","Anthony Pelle","A. Pelle","Pelle","202",FALSE,202,NA,1,"4",6,1613,0,0,0,3,7,42.86,0,3,0,3,5,8,0,3,4,0,2,1,0,2,3,8,1,0,0,NA
1527414,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,52262,FALSE,1181,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",20201459,20201459,20201459,"Christopher Corchiani ","Chris Corchiani","C. Corchiani","Corchiani","202",FALSE,202,NA,1,"6",21,2264,3,5,60,3,8,37.5,6,8,75,0,1,1,0,5,2,0,0,0,0,5,9,20,1,0,0,NA
1527413,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,52210,TRUE,1178,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",20201394,20201394,20201394,"Albert Lajuane Burditt","Albert Burditt","A. Burditt","Burditt","202",FALSE,202,NA,1,"5",12,1866,0,0,0,6,6,100,0,1,0,8,1,9,1,1,2,0,1,0,1,1,3,23,1,0,0,NA
1527412,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,52209,TRUE,1178,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",20201392,20201392,20201392,"José Carmelo Artiles Morales","Pepón Artiles","P. Artiles","Artiles","202",FALSE,202,NA,1,"14",2,209,0,0,0,1,2,50,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,2,0,0,0,NA
1527411,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,52208,TRUE,1178,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",20201391,20201391,20201391,"Bernardo Hernández Arencibia","Berni Hernández","B. Hernández","Hernández","202",FALSE,202,NA,1,"4",5,709,0,0,0,2,3,66.67,1,1,100,0,0,0,1,1,1,0,0,1,0,3,1,2,0,0,0,NA
1527410,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,52207,TRUE,1178,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",20201295,20201295,20201295,"Shaun Garin Vandiver","Shaun Vandiver","S. Vandiver","Vandiver","202",FALSE,202,NA,1,"15",12,1771,0,0,0,6,7,85.71,0,0,0,5,2,7,0,3,6,0,1,0,0,3,4,17,1,0,0,NA
1527409,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,52206,TRUE,1178,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",20201290,20201290,20201290,"John Morton Jr","John Morton","J. Morton","Morton","202",FALSE,202,NA,1,"9",29,2191,3,5,60,5,10,50,10,14,71.43,4,1,5,3,3,2,0,0,0,1,2,8,33,1,0,0,NA
1527408,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,52205,TRUE,1178,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",20201199,20201199,20201199,"Bernardino Tamames Alonso","Berni Tamames","B. Tamames","Tamames","202",FALSE,202,NA,1,"10",9,954,0,0,0,4,7,57.14,1,1,100,2,1,3,0,0,1,0,0,0,0,3,1,6,0,0,0,NA
