"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified"
1535903,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,NA,FALSE,1170,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,NA
1535904,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,NA,TRUE,1163,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,NA
1535902,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,51965,TRUE,1163,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",20201415,20201415,20201415,"Alphonso Gene Ford","Alphonso Ford","A. Ford","Ford","202",FALSE,202,NA,1,"9",21,2260,2,5,40,7,17,41.18,1,2,50,4,2,6,3,3,2,0,0,0,1,3,2,16,1,0,0,NA
1535901,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,51964,TRUE,1163,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",20201414,20201414,20201414,"Isaiah Samuel Morris III","Isaiah Morris","I. Morris","Morris","202",FALSE,202,NA,1,"5",12,2368,0,0,0,6,15,40,0,1,0,5,4,9,1,1,1,0,1,2,0,3,4,12,1,0,0,NA
1535900,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,52080,FALSE,1170,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",20201368,20201368,20201368,"Ricardo Guillén Mendoza","Ricardo Guillén","R. Guillén","Guillén","202",FALSE,202,NA,1,"6",2,183,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,NA
1535899,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,52079,FALSE,1170,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",20201334,20201334,20201334,"Kenneth Allen Miller Tolbert","Kenny Miller","K. Miller","Miller","202",FALSE,202,NA,1,"14",13,1418,0,0,0,6,8,75,1,4,25,7,5,12,0,0,4,0,2,0,2,3,4,19,1,0,0,NA
1535898,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,52078,FALSE,1170,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",20201333,20201333,20201333,"Serguei Anatólievich Babkov","Serguei Babkov","S. Babkov","Babkov","202",FALSE,202,NA,1,"10",6,1698,0,5,0,3,5,60,0,0,0,1,0,1,1,2,0,0,0,0,0,3,2,2,1,0,0,NA
1535897,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,51961,TRUE,1163,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",20201231,20201231,20201231,"Wayne Francis Tinkle II","Wayne Tinkle","W. Tinkle","Tinkle","202",FALSE,202,NA,1,"4",10,1865,0,1,0,4,7,57.14,2,4,50,4,0,4,1,1,2,0,0,1,0,4,4,7,1,0,0,NA
1535896,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,52077,FALSE,1170,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",20201123,20201123,20201123,"Michael Antonio Ansley","Mike Ansley","M. Ansley","Ansley","202",FALSE,202,NA,1,"9",23,1876,1,3,33.33,9,15,60,2,4,50,6,0,6,1,1,1,0,1,2,0,2,2,19,0,0,0,NA
1535895,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,51958,TRUE,1163,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",20201090,20201090,20201090,"Salvador Guardia Ramos","Salva Guardia","S. Guardia","Guardia","202",FALSE,202,NA,1,"15",5,567,0,1,0,2,3,66.67,1,1,100,3,0,3,0,1,0,0,1,0,0,1,1,8,0,0,0,NA
