"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified"
1601014,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",54,1989,107,NA,NA,1174,6186,NA,NA,FALSE,1044,1039,1031,"Caja Ronda","Caja Ronda","RON",1044,1894,"CAI Zaragoza","CAI Zaragoza","CBZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1601013,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",54,1989,107,NA,NA,1174,6186,NA,NA,TRUE,1039,1039,1031,"Caja Ronda","Caja Ronda","RON",1044,1894,"CAI Zaragoza","CAI Zaragoza","CBZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1601012,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",54,1989,107,NA,NA,1174,6186,NA,50055,FALSE,1044,1039,1031,"Caja Ronda","Caja Ronda","RON",1044,1894,"CAI Zaragoza","CAI Zaragoza","CBZ",20202343,20202343,20202343,"Alexander Belostenny ","Alexander Belostenny","A. Belostenny","Belostenny","202",FALSE,202,NA,1,"12",13,2280,0,1,0,6,10,60,1,1,100,8,4,12,0,2,2,0,4,0,0,4,0,20,0,0,0,NA
1601011,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",54,1989,107,NA,NA,1174,6186,NA,49980,TRUE,1039,1039,1031,"Caja Ronda","Caja Ronda","RON",1044,1894,"CAI Zaragoza","CAI Zaragoza","CBZ",20201031,20201031,20201031,"Ricky Darnell Brown","Ricky Brown","R. Brown","Brown","202",FALSE,202,NA,1,"11",27,2580,0,0,0,10,21,47.62,7,8,87.5,7,4,11,5,4,4,0,2,0,0,4,0,29,0,0,0,NA
1601010,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",54,1989,107,NA,NA,1174,6186,NA,50054,FALSE,1044,1039,1031,"Caja Ronda","Caja Ronda","RON",1044,1894,"CAI Zaragoza","CAI Zaragoza","CBZ",20200891,20200891,20200891,"José Miguel Hernández Camacho","José Miguel Hernández","J. Hernández","Hernández","202",FALSE,202,NA,1,"14",0,240,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-4,0,0,0,NA
1601009,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",54,1989,107,NA,NA,1174,6186,NA,50053,FALSE,1044,1039,1031,"Caja Ronda","Caja Ronda","RON",1044,1894,"CAI Zaragoza","CAI Zaragoza","CBZ",20200889,20200889,20200889,"Daniel Álvarez Palomero","Daniel Alvarez","D. Alvarez","Alvarez","202",FALSE,202,NA,1,"5",0,840,0,1,0,0,2,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,-2,0,0,0,NA
1601008,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",54,1989,107,NA,NA,1174,6186,NA,49976,TRUE,1039,1039,1031,"Caja Ronda","Caja Ronda","RON",1044,1894,"CAI Zaragoza","CAI Zaragoza","CBZ",20200850,20200850,20200850,"Joseph John Arlauckas ","Joe Arlauckas","J. Arlauckas","Arlauckas","202",FALSE,202,NA,1,"8",28,3000,0,0,0,11,20,55,6,8,75,6,4,10,1,0,3,0,3,0,0,3,0,25,0,0,0,NA
1601007,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",54,1989,107,NA,NA,1174,6186,NA,50052,FALSE,1044,1039,1031,"Caja Ronda","Caja Ronda","RON",1044,1894,"CAI Zaragoza","CAI Zaragoza","CBZ",20200834,20200834,20300220,"Joaquín Ruiz Lorente","Joaquín Ruiz","J. Ruiz","Ruiz","202",FALSE,202,NA,1,"7",11,2760,0,2,0,5,9,55.56,1,1,100,2,0,2,2,2,4,0,0,0,0,2,0,5,0,0,0,NA
1601006,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",54,1989,107,NA,NA,1174,6186,NA,50051,FALSE,1044,1039,1031,"Caja Ronda","Caja Ronda","RON",1044,1894,"CAI Zaragoza","CAI Zaragoza","CBZ",20200805,20200805,20200805,"Mark Giles Davis","Mark Davis","M. Davis","Davis","202",FALSE,202,NA,1,"9",19,2760,2,4,50,6,10,60,1,2,50,2,1,3,0,3,5,0,0,0,0,3,0,10,0,0,0,NA
1601005,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",54,1989,107,NA,NA,1174,6186,NA,50049,FALSE,1044,1039,1031,"Caja Ronda","Caja Ronda","RON",1044,1894,"CAI Zaragoza","CAI Zaragoza","CBZ",20200803,20200803,20200803,"Francisco José Murcia Sánchez","Fran Murcia","F. Murcia","Murcia","202",FALSE,202,NA,1,"15",0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,0,0,0,NA
