"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified"
1355936,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",80,2015,107,NA,NA,2537,16215,NA,NA,FALSE,3027,3016,150,"FC Barcelona Lassa","Barcelona Lassa","BAR",3027,1171,"CAI Zaragoza","CAI Zaragoza","ZGZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,1,0,0,0,0,0,0,1,7,0,0,0,NA
1355935,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",80,2015,107,NA,NA,2537,16215,NA,NA,TRUE,3016,3016,150,"FC Barcelona Lassa","Barcelona Lassa","BAR",3027,1171,"CAI Zaragoza","CAI Zaragoza","ZGZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,1,0,0,0,0,0,1,5,0,0,0,NA
1355934,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",80,2015,107,NA,NA,2537,16215,NA,47768,FALSE,3027,3016,150,"FC Barcelona Lassa","Barcelona Lassa","BAR",3027,1171,"CAI Zaragoza","CAI Zaragoza","ZGZ",20211706,20211706,20211706,"Pedro Romera Rodríguez","Pedro Romera","P. Romera","Romera","202",FALSE,202,NA,0,"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1355933,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",80,2015,107,NA,NA,2537,16215,NA,47767,FALSE,3027,3016,150,"FC Barcelona Lassa","Barcelona Lassa","BAR",3027,1171,"CAI Zaragoza","CAI Zaragoza","ZGZ",20211657,20211657,20211657,"Halil Kanacevic ","Halil Kanacevic","H. Kanacevic","Kanacevic","202",FALSE,202,NA,1,"45",7,1424,1,2,50,1,4,25,2,2,100,3,0,3,4,0,1,0,0,0,0,3,1,7,0,0,-8,NA
1355932,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",80,2015,107,NA,NA,2537,16215,NA,47766,FALSE,3027,3016,150,"FC Barcelona Lassa","Barcelona Lassa","BAR",3027,1171,"CAI Zaragoza","CAI Zaragoza","ZGZ",20211656,20211656,20211656,"Drake Richard Diener","Drake Richard Diener","D. Diener","Diener","202",FALSE,202,NA,1,"16",11,1467,1,5,20,2,3,66.67,4,5,80,1,0,1,0,0,0,0,0,1,0,3,3,5,1,0,-15,NA
1355931,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",80,2015,107,NA,NA,2537,16215,NA,47765,FALSE,3027,3016,150,"FC Barcelona Lassa","Barcelona Lassa","BAR",3027,1171,"CAI Zaragoza","CAI Zaragoza","ZGZ",20211655,20211655,20211655,"Seketoure Michael Henry","Seketoure Michael Henry","S. Henry","Henry","202",FALSE,202,NA,1,"5",7,1006,0,0,0,3,4,75,1,2,50,1,0,1,2,0,1,0,0,1,0,1,1,6,0,0,4,NA
1355930,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",80,2015,107,NA,NA,2537,16215,NA,47764,FALSE,3027,3016,150,"FC Barcelona Lassa","Barcelona Lassa","BAR",3027,1171,"CAI Zaragoza","CAI Zaragoza","ZGZ",20211654,20211654,20211654,"Nathaniel Andrew Linhart","Nathaniel Andrew Linhart","N. Linhart","Linhart","202",FALSE,202,NA,1,"4",8,1419,2,3,66.67,1,1,100,0,2,0,1,0,1,2,0,0,0,0,0,0,3,2,7,1,0,-17,NA
1355929,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",80,2015,107,NA,NA,2537,16215,NA,47763,FALSE,3027,3016,150,"FC Barcelona Lassa","Barcelona Lassa","BAR",3027,1171,"CAI Zaragoza","CAI Zaragoza","ZGZ",20211653,20211653,20211653,"Robin Clemens Benzing ","Robin Benzing","R. Benzing","Benzing","202",FALSE,202,NA,1,"21",9,889,2,3,66.67,1,2,50,1,1,100,2,0,2,1,0,2,0,0,0,0,1,2,9,0,0,13,NA
1355928,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",80,2015,107,NA,NA,2537,16215,NA,46992,TRUE,3016,3016,150,"FC Barcelona Lassa","Barcelona Lassa","BAR",3027,1171,"CAI Zaragoza","CAI Zaragoza","ZGZ",20211619,20211619,20211619,"Olaseni Abdul-Jelili Lawal","Shane Lawal","O. Lawal","Lawal","202",FALSE,202,NA,1,"9",2,700,0,0,0,1,2,50,0,0,0,2,1,3,0,0,1,0,0,0,1,3,1,1,0,0,-7,NA
1355927,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",80,2015,107,NA,NA,2537,16215,NA,46994,TRUE,3016,3016,150,"FC Barcelona Lassa","Barcelona Lassa","BAR",3027,1171,"CAI Zaragoza","CAI Zaragoza","ZGZ",20211612,20211612,20211612,"Stratos Perperoglou ","Stratos Perperoglou","S. Perperoglou","Perperoglou","202",FALSE,202,NA,1,"33",6,1345,0,4,0,3,6,50,0,0,0,1,3,4,1,2,0,0,0,0,0,2,1,5,0,0,8,NA
