"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified"
1574868,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",56,1991,107,NA,NA,1270,7166,NA,NA,FALSE,1072,1074,1455,"Valvi Girona","Valvi Girona","GIR",1072,326,"Gran Canaria","Gran Canaria","GCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,NA
1574867,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",56,1991,107,NA,NA,1270,7166,NA,NA,TRUE,1074,1074,1455,"Valvi Girona","Valvi Girona","GIR",1072,326,"Gran Canaria","Gran Canaria","GCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,NA
1574866,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",56,1991,107,NA,NA,1270,7166,NA,50503,TRUE,1074,1074,1455,"Valvi Girona","Valvi Girona","GIR",1072,326,"Gran Canaria","Gran Canaria","GCA",20201030,20201030,20201030,"Darryl Bryan Middleton","Darryl Middleton","D. Middleton","Middleton","202",FALSE,202,NA,1,"10",21,2132,0,0,0,8,11,72.73,5,6,83.33,7,4,11,0,2,4,0,0,0,0,1,7,32,1,0,0,NA
1574865,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",56,1991,107,NA,NA,1270,7166,NA,50471,FALSE,1072,1074,1455,"Valvi Girona","Valvi Girona","GIR",1072,326,"Gran Canaria","Gran Canaria","GCA",20201027,20201027,20201027,"Francisco Javier Herrera Rivas","Francisco Herrera","F. Herrera","Herrera","202",FALSE,202,NA,1,"15",7,1877,1,3,33.33,2,7,28.57,0,0,0,0,0,0,2,1,2,0,1,0,0,4,2,0,0,0,0,NA
1574864,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",56,1991,107,NA,NA,1270,7166,NA,50470,FALSE,1072,1074,1455,"Valvi Girona","Valvi Girona","GIR",1072,326,"Gran Canaria","Gran Canaria","GCA",20201026,20201026,20201026,"Juan José Urdiain Asensio","Juanjo Urdiain","J. Urdiain","Urdiain","202",FALSE,202,NA,1,"14",3,1069,0,0,0,1,3,33.33,1,2,50,2,2,4,0,0,2,0,0,0,0,4,2,0,0,0,0,NA
1574863,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",56,1991,107,NA,NA,1270,7166,NA,50469,FALSE,1072,1074,1455,"Valvi Girona","Valvi Girona","GIR",1072,326,"Gran Canaria","Gran Canaria","GCA",20201025,20201025,20201025,"Antonio Sacedo González","Antonio Sacedo","A. Sacedo","Sacedo","202",FALSE,202,NA,1,"12",0,523,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-2,1,0,0,NA
1574862,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",56,1991,107,NA,NA,1270,7166,NA,50468,FALSE,1072,1074,1455,"Valvi Girona","Valvi Girona","GIR",1072,326,"Gran Canaria","Gran Canaria","GCA",20201024,20201024,20201024,"Gregory Everett Stewart Nichols","Greg Stewart","G. Stewart","Stewart","202",FALSE,202,NA,1,"11",28,2400,2,3,66.67,9,17,52.94,4,7,57.14,4,7,11,2,1,3,0,0,0,0,0,4,31,1,0,0,NA
1574861,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",56,1991,107,NA,NA,1270,7166,NA,50467,FALSE,1072,1074,1455,"Valvi Girona","Valvi Girona","GIR",1072,326,"Gran Canaria","Gran Canaria","GCA",20201023,20201023,20201023,"Pedro Ramos de la Fuente","Pedro Ramos","P. Ramos","Ramos","202",FALSE,202,NA,1,"9",0,528,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,0,-3,0,0,0,NA
1574860,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",56,1991,107,NA,NA,1270,7166,NA,50466,FALSE,1072,1074,1455,"Valvi Girona","Valvi Girona","GIR",1072,326,"Gran Canaria","Gran Canaria","GCA",20201022,20201022,20201022,"Miguel Ángel Cabral Torres","Miguel Ángel Cabral","M.A. Cabral","Cabral","202",FALSE,202,NA,1,"13",4,1443,0,2,0,2,6,33.33,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,1,1,0,0,NA
1574859,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",56,1991,107,NA,NA,1270,7166,NA,50465,FALSE,1072,1074,1455,"Valvi Girona","Valvi Girona","GIR",1072,326,"Gran Canaria","Gran Canaria","GCA",20201021,20201021,20201021,"Joan Pera Vila","Joan Pera","J. Pera","Pera","202",FALSE,202,NA,1,"6",8,957,0,0,0,4,9,44.44,0,1,0,0,2,2,0,2,0,0,0,0,0,2,2,6,0,0,0,NA
