"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","matches","pno","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","starting","playing","differential","disqualified"
1545722,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",59,1994,107,NA,NA,1413,8394,NA,51481,TRUE,1135,1135,1299,"Festina Andorra","Festina Andorra","AND",1144,1600,"Baloncesto León","Baloncesto León","LEO",20200658,20200658,20200658,"Antonio Llorente Gento","Toñín Llorente","T. Llorente","Llorente","202",FALSE,202,NA,1,"7",12,1691,1,2,50,4,4,100,1,2,50,2,0,2,5,2,2,0,0,0,0,3,3,17,1,0,0,NA
1545741,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",59,1994,107,NA,NA,1413,8394,NA,NA,FALSE,1144,1135,1299,"Festina Andorra","Festina Andorra","AND",1144,1600,"Baloncesto León","Baloncesto León","LEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
1545742,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",59,1994,107,NA,NA,1413,8394,NA,NA,TRUE,1135,1135,1299,"Festina Andorra","Festina Andorra","AND",1144,1600,"Baloncesto León","Baloncesto León","LEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,3,0,0,0,NA
1545740,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",59,1994,107,NA,NA,1413,8394,NA,51490,TRUE,1135,1135,1299,"Festina Andorra","Festina Andorra","AND",1144,1600,"Baloncesto León","Baloncesto León","LEO",20201348,20201348,20201348,"Eric Walfred Anderson III","Eric Anderson","E. Anderson","Anderson","202",FALSE,202,NA,1,"9",15,2189,0,3,0,5,8,62.5,5,6,83.33,3,5,8,0,0,2,0,0,0,1,2,3,15,1,0,0,NA
1545739,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",59,1994,107,NA,NA,1413,8394,NA,51651,FALSE,1144,1135,1299,"Festina Andorra","Festina Andorra","AND",1144,1600,"Baloncesto León","Baloncesto León","LEO",20201320,20201320,20201320,"Carlus Eugene Groves","Carlus Groves","C. Groves","Groves","202",FALSE,202,NA,1,"15",7,1367,1,2,50,2,3,66.67,0,1,0,0,3,3,0,0,2,0,0,0,0,1,2,6,0,0,0,NA
1545738,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",59,1994,107,NA,NA,1413,8394,NA,51650,FALSE,1144,1135,1299,"Festina Andorra","Festina Andorra","AND",1144,1600,"Baloncesto León","Baloncesto León","LEO",20201282,20201282,20201282,"Oscar Yebra Fernández","Oscar Yebra","O. Yebra","Yebra","202",FALSE,202,NA,1,"12",5,432,0,2,0,2,3,66.67,1,2,50,0,1,1,0,1,0,0,0,0,0,1,2,4,0,0,0,NA
1545737,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",59,1994,107,NA,NA,1413,8394,NA,51649,FALSE,1144,1135,1299,"Festina Andorra","Festina Andorra","AND",1144,1600,"Baloncesto León","Baloncesto León","LEO",20201200,20201200,20201200,"Oliver Fuentes Sardans","Oliver Fuentes","O. Fuentes","Fuentes","202",FALSE,202,NA,1,"10",9,1135,0,0,0,4,6,66.67,1,4,25,0,1,1,0,2,0,0,0,0,0,4,2,5,0,0,0,NA
1545736,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",59,1994,107,NA,NA,1413,8394,NA,51489,TRUE,1135,1135,1299,"Festina Andorra","Festina Andorra","AND",1144,1600,"Baloncesto León","Baloncesto León","LEO",20201186,20201186,20201186,"Conner David Henry","Conner Henry","C. Henry","Henry","202",FALSE,202,NA,1,"10",22,2226,3,8,37.5,5,6,83.33,3,4,75,5,1,6,1,2,4,0,0,0,2,3,3,20,1,0,0,NA
1545735,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",59,1994,107,NA,NA,1413,8394,NA,51488,TRUE,1135,1135,1299,"Festina Andorra","Festina Andorra","AND",1144,1600,"Baloncesto León","Baloncesto León","LEO",20201176,20201176,20201176,"Pere Joan Remón Deu","Pere Remón","P. Remón","Remón","202",FALSE,202,NA,1,"15",2,296,0,0,0,0,1,0,2,2,100,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,NA
1545734,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",59,1994,107,NA,NA,1413,8394,NA,51487,TRUE,1135,1135,1299,"Festina Andorra","Festina Andorra","AND",1144,1600,"Baloncesto León","Baloncesto León","LEO",20201174,20201174,20201174,"Joaquín Arcega Aperte","Joaquín Arcega","J. Arcega","Arcega","202",FALSE,202,NA,1,"14",11,708,3,4,75,0,0,0,2,2,100,1,0,1,0,0,4,0,0,0,0,3,3,7,0,0,0,NA
