"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","phase_id","phase_description","phase_abrev","id_subphase","id_round","id_matchweek","id_week","week_description","matchweek_number","id_team_local","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_team_visitor","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","score_local","score_visitor","date","time","live","finalized","selected_players","arena_name","arena_town","period","crono","matchweek_descriptor"
104474,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5885,2862,"Semana 2","2",4395,2669,"Río Breogán","Río Breogán","BRE",4397,2671,"Valencia Basket","Valencia Basket","VBC",90,113,1760227200,54000,FALSE,TRUE,FALSE,"Pazo Provincial dos Deportes de Lugo","Lugo",4,0,"Jornada 2"
104473,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5885,2862,"Semana 2","2",4386,2660,"Barça","Barça","BAR",4387,2661,"Hiopos Lleida","Hiopos Lleida","HIO",86,91,1760227200,36900,FALSE,TRUE,FALSE,"Palau Blaugrana","Barcelona",4,0,"Jornada 2"
104472,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5885,2862,"Semana 2","2",4394,2716,"Joventut Badalona","Joventut","JOV",4392,2666,"Casademont Zaragoza","Casademont Zgz","CAZ",89,86,1760227200,36000,FALSE,TRUE,FALSE,"Palau Municipal D´Esports de Badalona","Badalona",4,0,"Jornada 2"
104471,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5885,2862,"Semana 2","2",4396,2725,"BAXI Manresa","BAXI Manresa","BAX",4401,2674,"Coviran Granada","Coviran Granada","COV",83,68,1760140800,68400,FALSE,TRUE,FALSE,"Pavelló Nou Congost","Manresa",4,0,"Jornada 2"
104470,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5885,2862,"Semana 2","2",4390,2664,"Dreamland Gran Canaria","Dreamland GC","DGC",4384,2658,"Unicaja","Unicaja","UNI",72,81,1760140800,64800,FALSE,TRUE,FALSE,"Gran Canaria Arena","Las Palmas de Gran Canaria",4,0,"Jornada 2"
104469,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5885,2862,"Semana 2","2",4385,2659,"MoraBanc Andorra","MoraBanc And","MBA",4391,2665,"La Laguna Tenerife","La Laguna TFE","LLT",64,96,1760140800,61200,FALSE,TRUE,FALSE,"Pavelló Toni Martí","Andorra La Vella",4,0,"Jornada 2"
104468,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5885,2862,"Semana 2","2",4399,2728,"Bàsquet Girona","Bàsquet Girona","GIR",4393,2667,"UCAM Murcia","UCAM Murcia","UCM",71,93,1760140800,57600,FALSE,TRUE,FALSE,"Palau Girona-Fontajau","Girona",4,0,"Jornada 2"
104485,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5886,2863,"Semana 3","3",4384,2658,"Unicaja","Unicaja","UNI",4386,2660,"Barça","Barça","BAR",77,83,1760832000,61200,FALSE,TRUE,FALSE,"Palacio de Deportes José María Martín Carpena","Málaga",4,0,"Jornada 3"
104484,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5886,2863,"Semana 3","3",4401,2674,"Coviran Granada","Coviran Granada","COV",4398,2710,"Baskonia","Baskonia","BKN",80,83,1760832000,57600,FALSE,TRUE,FALSE,"Palacio Deportes Granada","Granada",4,0,"Jornada 3"
104483,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",90,2025,107,107,"Liga Regular","LR",0,0,5886,2863,"Semana 3","3",4387,2661,"Hiopos Lleida","Hiopos Lleida","HIO",4397,2671,"Valencia Basket","Valencia Basket","VBC",78,99,1760832000,54000,FALSE,TRUE,FALSE,"Espai Fruita Barris Nord","Lleida",4,0,"Jornada 3"
