"id_competition","competition_name","competition_official_name","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_match","id_license","license_id","license_id_person","license_licenseStr","license_licenseStr15","license_licenseAbbrev","license_licenseNick","license_id_type","license_active","id_license_type","id_license_subtype","id_team","team_id_team_denomination","team_team_actual_name","team_team_actual_short_name","team_team_abbrev_name","order","id_playbyplaytype","type_description","type_normalized_description","shirt_number","local","period","minute","second","crono","score_local","score_visitor","posX","posY","wall_clock","statistics_3pt_success","statistics_3pt_tried","statistics_2pt_success","statistics_2pt_tried","statistics_1pt_success","statistics_1pt_tried","statistics_total_rebound","statistics_asis","statistics_steals","statistics_turnovers","statistics_blocks","statistics_personal_fouls","statistics_received_fouls","statistics_points","...1"
3,"Supercopa","Supercopa Endesa","https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,105681,20212423,20212423,20212423,"Simon Fredrik Stefan Birgander ","Simon Birgander","S. Birgander","Birgander",202,FALSE,202,NA,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",4201,112,"Entra Pista","Substitution - In","35",TRUE,1,8,31,00:08:31,4,0,0,0,65147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3,"Supercopa","Supercopa Endesa","https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,105681,30004878,30004878,21104384,"Kobi Jordan Simmons ","Kobi Simmons","K. Simmons","Simmons",202,FALSE,202,NA,4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",4301,92,"Canasta de 1","Free Throw Made","2",FALSE,1,8,31,00:08:31,4,1,0,0,65166,0,0,0,0,1,1,0,0,0,0,0,1,1,1,NA
3,"Supercopa","Supercopa Endesa","https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,105681,30004878,30004878,21104384,"Kobi Jordan Simmons ","Kobi Simmons","K. Simmons","Simmons",202,FALSE,202,NA,4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",4401,92,"Canasta de 1","Free Throw Made","2",FALSE,1,8,31,00:08:31,4,2,0,0,65177,0,0,0,0,2,2,0,0,0,0,0,1,1,2,NA
3,"Supercopa","Supercopa Endesa","https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,105681,30001229,30001229,21101034,"Eli John Ndiaye Faye","Eli Ndiaye","E. Ndiaye","Ndiaye",202,FALSE,202,NA,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",5101,97,"Intento fallado de 2","2-Point Shot Missed","4",TRUE,1,8,18,00:08:18,4,2,623,-2282,65193,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
3,"Supercopa","Supercopa Endesa","https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,105681,20210830,20210830,20210830,"Tadas Sedekerskis","Tadas Sedekerskis","T. Sedekerskis","Sedekerskis",202,FALSE,202,NA,4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",5201,104,"Rebote Defensivo","Defensive Rebound","8",FALSE,1,8,18,00:08:18,4,2,197,2847,65193,0,0,0,0,0,0,2,0,0,0,0,0,1,0,NA
3,"Supercopa","Supercopa Endesa","https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,105681,20210830,20210830,20210830,"Tadas Sedekerskis","Tadas Sedekerskis","T. Sedekerskis","Sedekerskis",202,FALSE,202,NA,4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",5501,93,"Canasta de 2","2-Point Shot Made","8",FALSE,1,8,11,00:08:11,4,4,62,617,65205,0,0,1,1,0,0,2,0,0,0,0,0,1,2,NA
3,"Supercopa","Supercopa Endesa","https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,105681,30004878,30004878,21104384,"Kobi Jordan Simmons ","Kobi Simmons","K. Simmons","Simmons",202,FALSE,202,NA,4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",5601,107,"Asistencia tiro de 2","Assist 2-Point Shot","2",FALSE,1,8,11,00:08:11,4,4,0,0,65205,0,0,0,0,2,2,0,1,0,0,0,1,1,2,NA
3,"Supercopa","Supercopa Endesa","https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,105681,30001229,30001229,21101034,"Eli John Ndiaye Faye","Eli Ndiaye","E. Ndiaye","Ndiaye",202,FALSE,202,NA,4482,3417,"Asisa Joventut","Asisa Joventut","JOV",5701,160,"Personal 1TL","Foul 1FT","4",TRUE,1,8,11,00:08:11,4,4,0,0,65209,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA
3,"Supercopa","Supercopa Endesa","https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,105681,20210830,20210830,20210830,"Tadas Sedekerskis","Tadas Sedekerskis","T. Sedekerskis","Sedekerskis",202,FALSE,202,NA,4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",5801,110,"Falta recibida","Foul Received","8",FALSE,1,8,11,00:08:11,4,4,0,0,65209,0,0,1,1,0,0,2,0,0,0,0,0,2,2,NA
3,"Supercopa","Supercopa Endesa","https://static.acb.com/img/14/39/3/27868634006.png","https://static.acb.com/img/1c/1a/3d/27940034120.png",91,2026,103,105681,20210830,20210830,20210830,"Tadas Sedekerskis","Tadas Sedekerskis","T. Sedekerskis","Sedekerskis",202,FALSE,202,NA,4484,3418,"Kosner Baskonia","Kosner Baskonia","BKN",5901,96,"Intento fallado de 1","Free Throw Missed","8",FALSE,1,8,11,00:08:11,4,4,0,0,65229,0,0,1,1,0,1,2,0,0,0,0,0,2,2,NA
