"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","match_number","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","differential","tournament_number2","defeats","victories","tie","team_score","rival_team_score","timeouts","time_as_leader","leader_changes","maximun_difference","points_after_steal","points_in_the_paint","second_opportinity_points","bench_points","best_streak"
1365664,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15862,NA,NA,TRUE,2981,2981,489,"Movistar Estudiantes","Movistar Estu","MOV",2982,522,"Gipuzkoa Basket GBC","Gipuzkoa Basket","GBC",1,91,12000,8,17,47.06,31,47,65.96,5,10,50,17,8,25,22,8,5,0,3,3,3,14,16,113,0,0,0,1,0,91,74,0,NA,0,0,0,0,0,0,0
1365665,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15862,NA,NA,FALSE,2982,2981,489,"Movistar Estudiantes","Movistar Estu","MOV",2982,522,"Gipuzkoa Basket GBC","Gipuzkoa Basket","GBC",1,74,12000,13,23,56.52,14,34,41.18,7,10,70,20,12,32,15,3,18,0,3,3,0,16,14,71,0,0,1,0,0,74,91,0,NA,0,0,0,0,0,0,0
1365638,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15861,NA,NA,TRUE,2990,2990,1169,"CAI Zaragoza","CAI Zaragoza","ZGZ",2983,651,"FIATC Joventut","FIATC Joventut","JOV",1,74,12000,4,15,26.67,18,37,48.65,26,28,92.86,26,9,35,16,8,20,0,1,1,3,19,27,89,0,0,1,0,0,74,79,0,NA,0,0,0,0,0,0,0
1365639,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15861,NA,NA,FALSE,2983,2990,1169,"CAI Zaragoza","CAI Zaragoza","ZGZ",2983,651,"FIATC Joventut","FIATC Joventut","JOV",1,79,12000,10,34,29.41,19,36,52.78,11,17,64.71,21,14,35,16,13,14,0,1,1,2,27,19,74,0,0,0,1,0,79,74,0,NA,0,0,0,0,0,0,0
1365772,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15866,NA,NA,TRUE,2988,2988,1087,"Unicaja","Unicaja","UNI",2992,1319,"MoraBanc Andorra","MoraBanc And.","MBA",1,83,12000,7,20,35,27,45,60,8,10,80,23,8,31,20,6,11,0,3,0,4,19,16,96,0,0,0,1,0,83,69,0,NA,0,0,0,0,0,0,0
1365773,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15866,NA,NA,FALSE,2992,2988,1087,"Unicaja","Unicaja","UNI",2992,1319,"MoraBanc Andorra","MoraBanc And.","MBA",1,69,12000,12,29,41.38,13,37,35.14,7,9,77.78,24,16,40,18,6,19,0,0,3,2,16,19,71,0,0,1,0,0,69,83,0,NA,0,0,0,0,0,0,0
1365693,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15863,NA,NA,FALSE,2980,2984,800,"Real Madrid","Real Madrid","RMB",2980,363,"Herbalife Gran Canaria","Herbalife GC","HGC",1,57,12000,3,19,15.79,21,45,46.67,6,7,85.71,28,8,36,14,5,14,0,3,0,2,18,19,61,0,0,1,0,0,57,70,0,NA,0,0,0,0,0,0,0
1365692,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15863,NA,NA,TRUE,2984,2984,800,"Real Madrid","Real Madrid","RMB",2980,363,"Herbalife Gran Canaria","Herbalife GC","HGC",1,70,12000,5,18,27.78,21,49,42.86,13,17,76.47,30,14,44,19,10,10,0,0,3,5,19,18,84,0,0,0,1,0,70,57,0,NA,0,0,0,0,0,0,0
1365585,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15859,NA,NA,TRUE,2986,2986,919,"UCAM Murcia CB","UCAM Murcia CB","UCM",2987,994,"Valencia Basket Club","Valencia Basket","VBC",1,85,12000,5,14,35.71,27,42,64.29,16,21,76.19,15,12,27,12,13,12,0,3,0,5,20,20,99,0,0,0,1,0,85,76,0,NA,0,0,0,0,0,0,0
1365586,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15859,NA,NA,FALSE,2987,2986,919,"UCAM Murcia CB","UCAM Murcia CB","UCM",2987,994,"Valencia Basket Club","Valencia Basket","VBC",1,76,12000,9,20,45,19,35,54.29,11,17,64.71,13,14,27,10,7,19,0,0,3,4,20,20,65,0,0,1,0,0,76,85,0,NA,0,0,0,0,0,0,0
1365560,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15858,NA,NA,TRUE,2995,2995,304,"Dominion Bilbao Basket","Dominion Bilbao","RBB",2991,1218,"Montakit Fuenlabrada","Montakit Fuenla","MKF",1,73,12000,7,25,28,17,34,50,18,23,78.26,26,12,38,15,9,10,0,2,0,0,23,22,86,0,0,0,1,0,73,54,0,NA,0,0,0,0,0,0,0
1365561,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15858,NA,NA,FALSE,2991,2995,304,"Dominion Bilbao Basket","Dominion Bilbao","RBB",2991,1218,"Montakit Fuenlabrada","Montakit Fuenla","MKF",1,54,12000,2,22,9.09,16,38,42.11,16,23,69.57,26,15,41,8,5,15,0,0,2,3,22,23,43,0,0,1,0,0,54,73,0,NA,0,0,0,0,0,0,0
1365746,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15865,NA,NA,TRUE,2978,2978,143,"FC Barcelona","FC Barcelona","BAR",2979,253,"Laboral Kutxa Baskonia","Laboral Kutxa","BAS",1,87,12000,10,13,76.92,24,41,58.54,9,12,75,29,6,35,15,10,22,0,2,2,2,17,19,104,0,0,0,1,0,87,65,0,NA,0,0,0,0,0,0,0
1365747,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15865,NA,NA,FALSE,2979,2978,143,"FC Barcelona","FC Barcelona","BAR",2979,253,"Laboral Kutxa Baskonia","Laboral Kutxa","BAS",1,65,12000,1,10,10,27,56,48.21,8,12,66.67,17,10,27,14,16,14,0,2,2,4,19,17,64,0,0,1,0,0,65,87,0,NA,0,0,0,0,0,0,0
1365719,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15864,NA,NA,TRUE,2994,2994,1693,"Rio Natura Monbus Obradoiro","Rio Monbus Obra","MOB",2985,883,"La Bruixa D´Or Manresa","La Bruixa D´Or","MAN",1,88,12000,11,21,52.38,17,30,56.67,21,22,95.45,24,6,30,22,9,16,0,3,2,6,24,20,106,0,0,0,1,0,88,64,0,NA,0,0,0,0,0,0,0
1365720,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15864,NA,NA,FALSE,2985,2994,1693,"Rio Natura Monbus Obradoiro","Rio Monbus Obra","MOB",2985,883,"La Bruixa D´Or Manresa","La Bruixa D´Or","MAN",1,64,12000,4,15,26.67,17,41,41.46,18,24,75,14,15,29,6,6,17,0,2,3,0,20,24,50,0,0,1,0,0,64,88,0,NA,0,0,0,0,0,0,0
1365610,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15860,NA,NA,TRUE,2989,2989,1149,"Baloncesto Sevilla","Bal. Sevilla","SEV",2993,1395,"Iberostar Tenerife","Iberostar Tfe","IBT",1,87,12000,8,18,44,25,48,52,13,19,68,23,9,32,13,9,13,0,1,1,1,27,19,81,-45,0,11,0,0,87,96,0,0,0,0,0,0,0,0,0
1365611,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2481,15860,NA,NA,FALSE,2993,2989,1149,"Baloncesto Sevilla","Bal. Sevilla","SEV",2993,1395,"Iberostar Tenerife","Iberostar Tfe","IBT",1,96,12000,8,20,40,27,43,62.79,18,30,60,26,10,36,24,8,13,0,1,1,2,19,27,119,0,0,0,1,0,96,87,0,NA,0,0,0,0,0,0,0
1365852,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2482,15869,NA,NA,TRUE,2985,2985,883,"La Bruixa D´Or Manresa","La Bruixa D´Or","MAN",2978,143,"FC Barcelona","FC Barcelona","BAR",1,69,12000,7,23,30.43,15,37,40.54,18,23,78.26,20,11,31,10,7,11,0,2,6,1,19,26,66,0,0,1,0,0,69,88,0,NA,0,0,0,0,0,0,0
1365853,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2482,15869,NA,NA,FALSE,2978,2985,883,"La Bruixa D´Or Manresa","La Bruixa D´Or","MAN",2978,143,"FC Barcelona","FC Barcelona","BAR",1,88,12000,9,22,40.91,25,36,69.44,11,19,57.89,29,5,34,18,9,13,0,6,2,4,26,19,101,0,0,0,1,0,88,69,0,NA,0,0,0,0,0,0,0
1365907,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",79,2014,107,NA,NA,2482,15871,NA,NA,TRUE,2982,2982,522,"Gipuzkoa Basket GBC","Gipuzkoa Basket","GBC",2984,800,"Real Madrid","Real Madrid","RMB",1,76,12000,6,23,26.09,25,40,62.5,8,10,80,17,5,22,16,11,8,0,1,1,0,17,22,88,0,0,1,0,0,76,90,0,NA,0,0,0,0,0,0,0
