"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","match_number","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","differential","tournament_number2","defeats","victories","tie","team_score","rival_team_score","timeouts","time_as_leader","leader_changes","maximun_difference","points_after_steal","points_in_the_paint","second_opportinity_points","bench_points","best_streak"
1527418,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,NA,TRUE,1178,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",1,89,12000,3,8,37.5,32,47,68.09,16,24,66.67,27,9,36,9,13,14,0,3,2,3,23,26,109,0,0,0,1,0,89,59,0,NA,0,0,0,0,0,0,0
1527419,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9220,NA,NA,FALSE,1181,1178,329,"Gran Canaria","Gran Canaria","GCA",1181,1462,"Valvi Girona","Valvi Girona","GIR",1,59,12000,6,15,40,14,39,35.9,13,20,65,14,10,24,3,13,17,0,2,3,1,26,23,37,0,0,1,0,0,59,89,0,NA,0,0,0,0,0,0,0
1527301,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9215,NA,NA,FALSE,1180,1177,1368,"Cáceres CB","Cáceres CB","CAC",1180,1193,"Baloncesto Fuenlabrada","B. Fuenlabrada","FUE",1,80,12000,7,18,38,22,38,57,15,20,75,22,8,30,8,6,16,0,1,5,3,25,19,66,0,0,10,0,0,800,94,0,0,0,0,0,0,0,0,0
1527300,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9215,NA,NA,TRUE,1177,1177,1368,"Cáceres CB","Cáceres CB","CAC",1180,1193,"Baloncesto Fuenlabrada","B. Fuenlabrada","FUE",1,94,12000,10,21,47.62,21,35,60,22,27,81.48,19,8,27,13,10,11,0,5,1,7,19,25,113,0,0,0,1,0,94,80,0,NA,0,0,0,0,0,0,0
1527349,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9217,NA,NA,TRUE,1186,1186,861,"TDK Manresa","TDK Manresa","MAN",1189,948,"Pamesa Valencia","Pamesa Valencia","PAM",1,88,12000,8,15,53.33,21,41,51.22,22,27,81.48,23,7,30,15,4,9,0,0,4,0,20,23,95,0,0,0,1,0,88,78,0,NA,0,0,0,0,0,0,0
1527350,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9217,NA,NA,FALSE,1189,1186,861,"TDK Manresa","TDK Manresa","MAN",1189,948,"Pamesa Valencia","Pamesa Valencia","PAM",1,78,12000,3,13,23.08,29,49,59.18,11,17,64.71,22,9,31,17,6,10,0,4,0,3,23,20,87,0,0,1,0,0,78,88,0,NA,0,0,0,0,0,0,0
1527486,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9223,NA,NA,TRUE,1184,1184,1604,"León Caja España","León C. España","LEO",1185,748,"Real Madrid Teka","Real Madrid","RMB",1,81,12000,3,14,21.43,25,49,51.02,22,29,75.86,15,10,25,6,10,12,0,0,5,3,25,26,64,0,0,1,0,0,81,91,0,NA,0,0,0,0,0,0,0
1527487,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9223,NA,NA,FALSE,1185,1184,1604,"León Caja España","León C. España","LEO",1185,748,"Real Madrid Teka","Real Madrid","RMB",1,91,12000,7,14,50,24,41,58,22,29,75,29,11,40,10,8,17,0,5,0,1,26,25,105,0,0,0,10,0,910,81,0,0,0,0,0,0,0,0,0
1527372,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9218,NA,NA,FALSE,1182,1192,1844,"Fórum Valladolid","Fórum Vall.","FOR",1182,1,"Covirán Granada","Covirán Granada","GRA",1,86,12000,5,9,55,31,56,55,9,16,56,24,9,33,14,11,11,0,2,3,4,20,22,98,0,0,0,10,0,860,79,0,0,0,0,0,0,0,0,0
1527371,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",61,1996,107,NA,NA,1514,9218,NA,NA,TRUE,1192,1192,1844,"Fórum Valladolid","Fórum Vall.","FOR",1182,1,"Covirán Granada","Covirán Granada","GRA",1,79,12000,10,31,32.26,17,32,53.12,15,20,75,25,10,35,10,7,13,0,3,2,0,22,20,76,0,0,1,0,0,79,86,0,NA,0,0,0,0,0,0,0
