"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","match_number","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","differential","tournament_number2","defeats","victories","tie","team_score","rival_team_score","timeouts","time_as_leader","leader_changes","maximun_difference","points_after_steal","points_in_the_paint","second_opportinity_points","bench_points","best_streak"
1962215,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",87,2022,107,NA,NA,5557,103358,NA,NA,FALSE,4147,4159,2496,"Gran Canaria","Gran Canaria","GCA",4147,2404,"Barça","Barça","BAR",1,85,12000,12,26,46,18,40,45,13,16,81,24,14,38,21,9,16,4,2,3,3,22,19,94,-15,-1,13,0,0,85,88,4,449,7,3,5,32,14,26,9
1962214,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",87,2022,107,NA,NA,5557,103358,NA,NA,TRUE,4159,4159,2496,"Gran Canaria","Gran Canaria","GCA",4147,2404,"Barça","Barça","BAR",1,88,12000,9,27,33,19,36,52,23,27,85,24,11,35,19,12,11,4,3,2,4,19,22,108,15,-1,0,13,0,88,85,4,1819,7,10,9,30,11,49,7
1962134,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",87,2022,107,NA,NA,5557,103366,NA,NA,TRUE,4157,4157,2414,"Joventut Badalona","Joventut","JOV",4148,2405,"Surne Bilbao Basket","Surne Bilbao","SBB",1,76,12000,9,24,37,19,40,47,11,16,68,25,14,39,16,4,14,2,5,3,2,17,19,84,-25,-1,13,0,0,76,81,4,1612,5,11,2,32,11,24,10
1962135,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",87,2022,107,NA,NA,5557,103366,NA,NA,FALSE,4148,4157,2414,"Joventut Badalona","Joventut","JOV",4148,2405,"Surne Bilbao Basket","Surne Bilbao","SBB",1,81,12000,5,18,27,23,42,54,20,27,74,23,7,30,16,12,5,7,3,5,3,19,17,91,25,-1,0,13,0,81,76,2,477,6,5,6,36,9,34,6
1961750,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",87,2022,107,NA,NA,5557,103355,NA,NA,TRUE,4154,4154,2364,"Cazoo Baskonia","Cazoo Baskonia","BKN",4152,2409,"Unicaja","Unicaja","UNI",1,103,12000,16,29,55,22,31,70,11,12,91,18,8,26,20,15,18,11,5,2,3,19,22,129,70,-1,0,13,0,103,89,4,1444,1,25,16,38,8,49,15
1961751,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",87,2022,107,NA,NA,5557,103355,NA,NA,FALSE,4152,4154,2364,"Cazoo Baskonia","Cazoo Baskonia","BKN",4152,2409,"Unicaja","Unicaja","UNI",1,89,12000,11,22,50,23,40,57,10,15,66,13,11,24,19,16,17,17,2,5,3,22,19,92,-70,-1,13,0,0,89,103,4,809,0,15,17,38,13,40,9
1961830,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",87,2022,107,NA,NA,5557,103356,NA,NA,TRUE,4145,4145,2419,"Real Betis Baloncesto","Betis","BET",4156,2413,"Valencia Basket","Valencia Basket","VBC",1,78,12000,11,29,37,17,35,48,11,20,55,20,9,29,18,12,13,6,5,2,3,22,20,80,-25,-1,13,0,0,78,83,3,67,1,3,16,30,14,41,6
1961831,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",87,2022,107,NA,NA,5557,103356,NA,NA,FALSE,4156,4145,2419,"Real Betis Baloncesto","Betis","BET",4156,2413,"Valencia Basket","Valencia Basket","VBC",1,83,12000,8,20,40,21,40,52,17,22,77,30,12,42,14,13,18,4,2,4,1,20,22,98,25,-1,0,13,0,83,78,2,2208,1,16,6,42,6,46,8
1961367,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",87,2022,107,NA,NA,5557,103353,NA,NA,FALSE,4158,4155,2412,"BAXI Manresa","BAXI Manresa","BAX",4158,2415,"Lenovo Tenerife","Lenovo Tenerife","LNT",1,89,12000,11,26,42,18,30,60,20,28,71,26,8,34,22,11,16,2,0,4,0,17,27,111,95,-1,0,13,0,89,70,1,2383,0,23,21,26,7,43,9
1961366,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",87,2022,107,NA,NA,5557,103353,NA,NA,TRUE,4155,4155,2412,"BAXI Manresa","BAXI Manresa","BAX",4158,2415,"Lenovo Tenerife","Lenovo Tenerife","LNT",1,70,12000,7,24,29,23,40,57,3,6,50,19,9,28,19,10,17,6,4,0,2,28,15,64,-95,-1,13,0,0,70,89,4,0,0,0,6,40,4,31,7
1961447,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",87,2022,107,NA,NA,5557,103354,NA,NA,FALSE,4153,4150,2407,"UCAM Murcia","UCAM Murcia","UCM",4153,2410,"Río Breogán","Río Breogán","BRE",1,84,12000,8,25,32,21,37,56,18,24,75,27,14,41,12,12,15,4,1,0,2,19,24,101,70,-1,0,13,0,84,70,3,2359,0,14,19,38,8,34,7
