"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","match_number","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","differential","tournament_number2","defeats","victories","tie","team_score","rival_team_score","timeouts","time_as_leader","leader_changes","maximun_difference","points_after_steal","points_in_the_paint","second_opportinity_points","bench_points","best_streak"
1639013,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",49,1984,107,NA,NA,954,4656,NA,NA,TRUE,933,933,65,"FC Barcelona","FC Barcelona","FCB",939,1438,"Español","Español","ESP",1,93,12000,2,4,50,37,64,57.81,13,19,68.42,26,12,38,8,17,19,0,8,0,0,29,0,81,0,0,0,1,0,93,70,0,NA,0,0,0,0,0,0,0
1639014,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",49,1984,107,NA,NA,954,4656,NA,NA,FALSE,939,933,65,"FC Barcelona","FC Barcelona","FCB",939,1438,"Español","Español","ESP",1,70,12000,1,6,16.67,28,53,52.83,11,20,55,24,13,37,10,15,21,0,6,0,0,24,0,54,0,0,1,0,0,70,93,0,NA,0,0,0,0,0,0,0
1638896,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",49,1984,107,NA,NA,954,4650,NA,NA,FALSE,943,936,1377,"Cajamadrid","Cajamadrid","CJM",943,722,"Real Madrid","Real Madrid","RMB",1,85,12000,0,2,0,36,65,55.38,13,20,65,24,14,38,10,18,18,0,9,0,0,25,0,79,0,0,0,1,0,85,67,0,NA,0,0,0,0,0,0,0
1638895,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",49,1984,107,NA,NA,954,4650,NA,NA,TRUE,936,936,1377,"Cajamadrid","Cajamadrid","CJM",943,722,"Real Madrid","Real Madrid","RMB",1,67,12000,1,6,16.67,27,51,52.94,10,16,62.5,24,13,37,11,14,18,0,8,0,0,29,0,55,0,0,1,0,0,67,85,0,NA,0,0,0,0,0,0,0
1638916,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",49,1984,107,NA,NA,954,4651,NA,NA,TRUE,942,942,590,"Ron Negrita Joventut","Joventut","JOV",944,1667,"Clesa Ferrol","Clesa Ferrol","FER",1,92,12000,2,5,40,39,67,58.21,8,10,80,24,15,39,8,14,17,0,6,0,0,24,0,85,0,0,0,1,0,92,86,0,NA,0,0,0,0,0,0,0
1638917,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",49,1984,107,NA,NA,954,4651,NA,NA,FALSE,944,942,590,"Ron Negrita Joventut","Joventut","JOV",944,1667,"Clesa Ferrol","Clesa Ferrol","FER",1,86,12000,2,9,22.22,32,55,58.18,16,20,80,23,15,38,10,14,17,0,9,0,0,27,0,79,0,0,1,0,0,86,92,0,NA,0,0,0,0,0,0,0
1638934,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",49,1984,107,NA,NA,954,4652,NA,NA,TRUE,934,934,186,"Caja Álava","Caja Álava","BAS",935,1336,"Breogán Caixa Galicia","Breogán","BRE",1,80,12000,2,5,40,30,57,52.63,14,18,77.78,24,15,39,8,13,20,0,7,0,0,20,0,73,0,0,1,0,0,80,85,0,NA,0,0,0,0,0,0,0
1638935,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",49,1984,107,NA,NA,954,4652,NA,NA,FALSE,935,934,186,"Caja Álava","Caja Álava","BAS",935,1336,"Breogán Caixa Galicia","Breogán","BRE",1,85,12000,2,6,33.33,33,65,50.77,13,18,72.22,22,14,36,6,11,13,0,5,0,0,20,0,69,0,0,0,1,0,85,80,0,NA,0,0,0,0,0,0,0
1638955,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",49,1984,107,NA,NA,954,4653,NA,NA,TRUE,940,940,431,"Estudiantes Caja Postal","Estudiantes CP","EST",937,1381,"Lucky Canarias","Lucky Canarias","CAN",1,88,12000,1,5,20,36,75,48,13,24,54.17,24,16,40,10,15,17,0,7,0,0,31,0,58,0,0,0,1,0,88,80,0,NA,0,0,0,0,0,0,0
1638956,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",49,1984,107,NA,NA,954,4653,NA,NA,FALSE,937,940,431,"Estudiantes Caja Postal","Estudiantes CP","EST",937,1381,"Lucky Canarias","Lucky Canarias","CAN",1,80,12000,3,7,42.86,30,62,48.39,11,16,68.75,22,14,36,11,16,17,0,10,0,0,26,0,69,0,0,1,0,0,80,88,0,NA,0,0,0,0,0,0,0
