"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","match_number","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","differential","tournament_number2","defeats","victories","tie","team_score","rival_team_score","timeouts","time_as_leader","leader_changes","maximun_difference","points_after_steal","points_in_the_paint","second_opportinity_points","bench_points","best_streak"
1535905,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,NA,TRUE,1163,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",1,68,12000,3,11,27.27,26,57,45.61,7,12,58.33,25,8,33,8,8,14,0,4,3,2,20,16,56,0,0,1,0,0,68,80,0,NA,0,0,0,0,0,0,0
1535906,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8813,NA,NA,FALSE,1170,1163,1555,"Grupo AGB Huesca","Gr. AGB Huesca","HUE",1170,1043,"Unicaja","Unicaja","UNI",1,80,12000,4,16,25,29,52,55.77,10,16,62.5,29,12,41,12,8,11,0,3,4,2,16,20,92,0,0,0,1,0,80,68,0,NA,0,0,0,0,0,0,0
1535884,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8812,NA,NA,TRUE,1155,1155,1301,"Festina Andorra","Festina Andorra","AND",1165,1602,"Baloncesto León","Baloncesto León","LEO",1,84,12000,8,15,53,20,33,60,20,25,80,18,3,21,11,10,23,0,1,1,1,30,28,76,0,0,10,0,0,840,90,0,0,0,0,0,0,0,0,0
1535885,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8812,NA,NA,FALSE,1165,1155,1301,"Festina Andorra","Festina Andorra","AND",1165,1602,"Baloncesto León","Baloncesto León","LEO",1,90,12000,6,11,54.55,28,43,65.12,16,27,59.26,16,8,24,12,13,18,0,1,1,2,28,30,92,0,0,0,1,0,90,84,0,NA,0,0,0,0,0,0,0
1535714,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8805,NA,NA,FALSE,1168,1159,328,"Gran Canaria","Gran Canaria","GCA",1168,905,"CB Murcia","CB Murcia","MUR",1,70,12000,7,14,50,18,39,46,13,25,52,20,8,28,13,3,18,0,1,4,0,18,28,63,0,0,10,0,0,700,82,0,0,0,0,0,0,0,0,0
1535713,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8805,NA,NA,TRUE,1159,1159,328,"Gran Canaria","Gran Canaria","GCA",1168,905,"CB Murcia","CB Murcia","MUR",1,82,12000,3,8,37.5,34,55,61.82,5,9,55.56,23,6,29,14,14,9,0,4,1,5,28,18,93,0,0,0,1,0,82,70,0,NA,0,0,0,0,0,0,0
1535738,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8806,NA,NA,TRUE,1174,1174,1906,"Amway Zaragoza","Amway Zaragoza","CBZ",1171,1774,"Baloncesto Salamanca","B. Salamanca","SAL",1,92,12000,3,12,25,28,67,41,27,34,79,23,25,48,10,11,12,0,3,2,3,22,27,100,0,0,0,9,0,828,85,0,0,0,0,0,0,0,0,0
1535739,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8806,NA,NA,FALSE,1171,1174,1906,"Amway Zaragoza","Amway Zaragoza","CBZ",1171,1774,"Baloncesto Salamanca","B. Salamanca","SAL",1,85,12000,1,5,20,31,59,52,20,25,80,23,12,35,13,8,17,0,2,3,4,27,22,81,0,0,11,0,0,935,92,0,0,0,0,0,0,0,0,0
1535837,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8810,NA,NA,TRUE,1161,1161,1444,"Gijón Baloncesto","Gijón Bal.","GIJ",1167,858,"TDK Manresa","TDK Manresa","MAN",1,98,12000,6,14,42,26,46,56,28,34,82,20,11,31,9,10,12,0,2,1,2,29,26,100,0,0,0,10,0,980,93,0,0,0,0,0,0,0,0,0
1535838,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",60,1995,107,NA,NA,1465,8810,NA,NA,FALSE,1167,1161,1444,"Gijón Baloncesto","Gijón Bal.","GIJ",1167,858,"TDK Manresa","TDK Manresa","MAN",1,93,12000,5,13,38.46,28,47,59.57,22,31,70.97,16,13,29,13,6,18,0,1,2,0,26,29,89,0,0,1,0,0,93,98,0,NA,0,0,0,0,0,0,0
