"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","match_number","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","differential","tournament_number2","defeats","victories","tie","team_score","rival_team_score","timeouts","time_as_leader","leader_changes","maximun_difference","points_after_steal","points_in_the_paint","second_opportinity_points","bench_points","best_streak"
2081560,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",89,2024,107,NA,NA,5819,104060,NA,NA,FALSE,4345,4347,2622,"Leyma Coruña","Leyma Coruña","COR",4345,2620,"Real Madrid","Real Madrid","RMB",1,85,12000,9,24,37,20,31,64,18,29,62,20,7,27,14,13,10,14,2,2,4,19,28,101,-5,-1,13,0,0,85,86,3,2097,2,14,18,36,7,30,10
2081559,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",89,2024,107,NA,NA,5819,104060,NA,NA,TRUE,4347,4347,2622,"Leyma Coruña","Leyma Coruña","COR",4345,2620,"Real Madrid","Real Madrid","RMB",1,86,12000,13,29,44,19,37,51,9,13,69,21,13,34,21,5,16,13,3,2,4,28,19,84,5,-1,0,13,0,86,85,5,92,2,2,4,28,10,51,9
2081395,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",89,2024,107,NA,NA,5819,104059,NA,NA,TRUE,4343,4343,2618,"Surne Bilbao Basket","Surne Bilbao","SBB",4341,2616,"Río Breogán","Río Breogán","BRE",1,90,12000,7,27,25,19,34,55,31,34,91,34,9,43,19,5,14,15,4,0,5,21,26,114,90,-1,0,13,0,90,72,2,2004,3,22,5,32,7,45,15
2081396,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",89,2024,107,NA,NA,5819,104059,NA,NA,FALSE,4341,4343,2618,"Surne Bilbao Basket","Surne Bilbao","SBB",4341,2616,"Río Breogán","Río Breogán","BRE",1,72,12000,9,23,39,17,43,39,11,17,64,24,8,32,15,6,15,9,0,4,2,26,21,55,-90,-1,13,0,0,72,90,5,233,3,6,4,32,5,24,9
2081064,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",89,2024,107,NA,NA,5819,104057,NA,NA,FALSE,4338,4335,2605,"La Laguna Tenerife","La Laguna TFE","LLT",4338,2613,"Baskonia","Baskonia","BKN",1,80,12000,11,24,45,17,38,44,13,15,86,20,13,33,15,4,15,11,3,2,2,24,18,76,-40,-1,13,0,0,80,88,5,778,8,7,5,26,8,18,8
2081063,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",89,2024,107,NA,NA,5819,104057,NA,NA,TRUE,4335,4335,2605,"La Laguna Tenerife","La Laguna TFE","LLT",4338,2613,"Baskonia","Baskonia","BKN",1,88,12000,10,25,40,19,33,57,20,26,76,21,11,32,17,8,10,9,2,2,1,18,24,106,40,-1,0,13,0,88,80,3,1260,5,14,4,38,8,31,11
2080871,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",89,2024,107,NA,NA,5819,104056,NA,NA,TRUE,4342,4342,2617,"Barça","Barça","BAR",4337,2612,"Coviran Granada","Coviran Granada","COV",1,91,12000,8,24,33,26,39,66,15,16,93,26,5,31,18,14,15,15,5,0,4,17,21,118,130,-1,0,13,0,91,65,2,2199,3,29,8,42,0,55,11
2080872,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",89,2024,107,NA,NA,5819,104056,NA,NA,FALSE,4337,4342,2617,"Barça","Barça","BAR",4337,2612,"Coviran Granada","Coviran Granada","COV",1,65,12000,9,31,29,15,32,46,8,8,100,23,10,33,13,7,21,4,0,5,0,21,17,49,-130,-1,13,0,0,65,91,5,97,2,2,0,20,3,11,6
2080791,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",89,2024,107,NA,NA,5819,104058,NA,NA,TRUE,4334,4334,2609,"Casademont Zaragoza","Casademont Zgz","CAZ",4348,2623,"Hiopos Lleida","Hiopos Lleida","HIO",1,101,13500,10,31,32,26,47,55,19,27,70,32,16,48,19,9,15,11,2,5,1,24,26,111,50,-1,0,13,0,101,91,5,811,7,10,2,42,4,39,9
2080792,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",89,2024,107,NA,NA,5819,104058,NA,NA,FALSE,4348,4334,2609,"Casademont Zaragoza","Casademont Zgz","CAZ",4348,2623,"Hiopos Lleida","Hiopos Lleida","HIO",1,91,13500,14,37,37,16,38,42,17,26,65,27,14,41,22,10,15,11,5,1,2,26,22,95,-50,-1,13,0,0,91,101,5,1212,8,11,7,32,7,39,7
