"id_competition","edition_year","id_match","matchweek_number","week_description","order","abb_local","abb","license_id","license_licenseStr15","license_licenseAbbrev","license_licenseNick","id_play","type_description","type_normalized_description","local","period","minute","second","crono","score_local","score_visitor","wall_clock","player_asist","player_shoot","asist_type","recovered_block","player_points","msg_type","three_make","three_misses","two_make","two_misses","free_make","free_misses","dunk","dunk_misses","valoracion","reboundOff","reboundDef","rebounds","asistencias","pts_diff","lado","a1","a2","a3","a4","a5","h1","h2","h3","h4","h5","NA1","NA2","NA3","NA4","NA5"
1,2026,105375,1,"Semana 1",501,"SBB","K&U",30005343,"Nick Ongenda","N. Ongenda","Ongenda",178,"Salto ganado","Won jump",FALSE,1,10,0,00:10:00,0,0,64994,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"a","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",601,"SBB","SBB",30005348,"Bastien  Vautier","B. Vautier","Vautier",179,"Salto perdido","Lost jump",TRUE,1,10,0,00:10:00,0,0,64994,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",1001,"SBB","K&U",30003943,"Hugo Benitez","H. Benitez","Benitez",97,"Intento fallado de 2","2-Point Shot Missed",FALSE,1,9,45,00:09:45,0,0,65078,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,"a","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",1101,"SBB","SBB",30000192,"Martin Krampelj","M. Krampelj","Krampelj",104,"Rebote Defensivo","Defensive Rebound",TRUE,1,9,45,00:09:45,0,0,65078,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",1601,"SBB","K&U",30003943,"Hugo Benitez","H. Benitez","Benitez",161,"Personal 2TL","Foul 2FT",FALSE,1,9,20,00:09:20,0,0,65104,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,"a","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",1701,"SBB","SBB",30003398,"Harald Frey","H. Frey","Frey",110,"Falta recibida","Foul Received",TRUE,1,9,20,00:09:20,0,0,65104,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",1801,"SBB","SBB",30003398,"Harald Frey","H. Frey","Frey",92,"Canasta de 1","Free Throw Made",TRUE,1,9,20,00:09:20,1,0,65126,NA,NA,NA,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",1901,"SBB","SBB",30003398,"Harald Frey","H. Frey","Frey",96,"Intento fallado de 1","Free Throw Missed",TRUE,1,9,20,00:09:20,1,0,65142,NA,NA,NA,0,0,3,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",2101,"SBB","SBB",30005348,"Bastien  Vautier","B. Vautier","Vautier",101,"Rebote Ofensivo","Offensive Rebound",TRUE,1,9,20,00:09:20,1,0,65142,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
1,2026,105375,1,"Semana 1",2201,"SBB","SBB",30005348,"Bastien  Vautier","B. Vautier","Vautier",93,"Canasta de 2","2-Point Shot Made",TRUE,1,9,18,00:09:18,3,0,65145,NA,NA,NA,0,2,2,0,0,1,0,0,0,0,0,2,0,0,0,0,3,"h","Pablo Tamba","Chibuzo Agbo","Hugo Benitez","JD Notae","Nick Ongenda","Harald Frey","Bastien  Vautier","Margiris Normantas","Martin Krampelj","Darrun Hilliard",NA,NA,NA,NA,NA
